url,location,floor,floors_count,rooms_count,living_meters,kitchen_meters,total_meters,price_feb,price_apr,price_may,district,street,residential_complex,year_of_construction,price_per_m2
https://dzerzhinsky.cian.ru/sale/flat/292932384/,13.0,7.0,14.0,3.0,55.0,14.0,93.0,16540000,16190000,16000000,59.0,671.0,322.0,1999.0,172043.01075268816
https://dzerzhinsky.cian.ru/sale/flat/300644081/,13.0,6.0,15.0,1.0,20.0,15.0,49.0,8220000,8070000,8000000,59.0,671.0,322.0,1999.0,163265.306122449
https://dzerzhinsky.cian.ru/sale/flat/300885682/,13.0,8.0,17.0,1.0,30.0,10.0,45.0,7840000,7670000,7600000,59.0,671.0,97.0,2004.0,168888.88888888888
https://dzerzhinsky.cian.ru/sale/flat/300436869/,13.0,3.0,5.0,2.0,28.0,6.0,41.0,7720000,7580000,7500000,59.0,52.0,322.0,1968.0,182926.82926829267
https://dzerzhinsky.cian.ru/sale/flat/300817717/,13.0,6.0,9.0,1.0,19.0,6.0,32.0,6560000,6440000,6380000,59.0,36.0,322.0,1966.0,199375.0
https://dzerzhinsky.cian.ru/sale/flat/301025826/,13.0,5.0,14.0,1.0,20.0,8.0,38.0,8230000,8070000,8000000,59.0,671.0,322.0,2003.0,210526.31578947368
https://dzerzhinsky.cian.ru/sale/flat/300381939/,13.0,5.0,17.0,1.0,20.0,18.0,58.0,9730000,9310000,9400000,59.0,671.0,49.0,2020.0,162068.9655172414
https://dzerzhinsky.cian.ru/sale/flat/300935788/,13.0,3.0,5.0,3.0,35.0,5.0,51.0,8570000,8400000,8300000,59.0,36.0,322.0,1972.0,162745.0980392157
https://dzerzhinsky.cian.ru/sale/flat/272659815/,13.0,5.0,9.0,3.0,44.0,7.0,60.0,8770000,8580000,8500000,59.0,621.0,322.0,1975.0,141666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/301902483/,13.0,15.0,17.0,2.0,32.0,16.0,69.0,11020000,10700000,10700000,59.0,671.0,322.0,2017.0,155072.46376811594
https://dzerzhinsky.cian.ru/sale/flat/300667586/,13.0,1.0,9.0,1.0,16.0,7.0,30.0,5480000,5350000,5300000,59.0,863.0,322.0,1978.0,176666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/299841659/,13.0,2.0,14.0,4.0,56.0,8.0,86.0,11200000,10900000,10900000,59.0,671.0,322.0,2003.0,126744.18604651163
https://dzerzhinsky.cian.ru/sale/flat/301376964/,13.0,12.0,21.0,2.0,47.0,14.0,87.0,13990000,13680000,13500000,59.0,671.0,322.0,2017.0,155172.41379310345
https://dzerzhinsky.cian.ru/sale/flat/293619690/,13.0,7.0,9.0,2.0,30.0,7.0,48.0,8800000,8420000,8500000,59.0,640.0,322.0,1989.0,177083.33333333334
https://dzerzhinsky.cian.ru/sale/flat/300157287/,13.0,14.0,18.0,2.0,20.0,20.0,62.0,8990000,8810000,8690000,59.0,671.0,97.0,2004.0,140161.29032258064
https://dzerzhinsky.cian.ru/sale/flat/301252579/,13.0,5.0,5.0,2.0,28.0,5.0,43.0,5960000,5830000,5750000,59.0,36.0,322.0,1965.0,133720.93023255814
https://dzerzhinsky.cian.ru/sale/flat/301101308/,13.0,4.0,10.0,3.0,48.0,9.0,80.0,12570000,12080000,12200000,59.0,863.0,322.0,2000.0,152500.0
https://dzerzhinsky.cian.ru/sale/flat/301407912/,13.0,3.0,4.0,2.0,29.0,6.0,41.0,7220000,6920000,6990000,59.0,779.0,322.0,1961.0,170487.80487804877
https://dzerzhinsky.cian.ru/sale/flat/299282845/,13.0,3.0,5.0,3.0,41.0,6.0,56.0,7030000,6730000,6800000,59.0,779.0,322.0,1963.0,121428.57142857143
https://dzerzhinsky.cian.ru/sale/flat/301849408/,13.0,3.0,16.0,2.0,27.0,11.0,50.0,9180000,9000000,8900000,59.0,863.0,322.0,1979.0,178000.0
https://dzerzhinsky.cian.ru/sale/flat/294495081/,13.0,9.0,14.0,2.0,28.0,11.0,66.0,9460000,9250000,9150000,59.0,226.0,49.0,2022.0,138636.36363636365
https://dzerzhinsky.cian.ru/sale/flat/301926819/,13.0,13.0,17.0,3.0,36.0,10.0,70.0,9940000,9720000,9600000,59.0,226.0,49.0,2022.0,137142.85714285713
https://dzerzhinsky.cian.ru/sale/flat/293658003/,13.0,1.0,14.0,1.0,20.0,8.0,38.0,5870000,5760000,5700000,59.0,671.0,322.0,1995.0,150000.0
https://dzerzhinsky.cian.ru/sale/flat/301339299/,13.0,2.0,5.0,2.0,28.0,6.0,42.0,7250000,7080000,7000000,59.0,36.0,322.0,1965.0,166666.66666666666
https://dzerzhinsky.cian.ru/sale/flat/289923120/,13.0,2.0,10.0,3.0,37.0,7.0,64.0,10870000,10620000,10500000,59.0,863.0,322.0,1999.0,164062.5
https://dzerzhinsky.cian.ru/sale/flat/300102281/,13.0,1.0,5.0,2.0,29.0,6.0,45.0,6520000,6370000,6300000,59.0,36.0,322.0,1967.0,140000.0
https://dzerzhinsky.cian.ru/sale/flat/298532631/,13.0,2.0,9.0,3.0,38.0,8.0,62.0,9300000,9090000,9000000,59.0,863.0,322.0,1976.0,145161.29032258064
https://dzerzhinsky.cian.ru/sale/flat/287856254/,13.0,2.0,3.0,3.0,53.0,8.0,78.0,9490000,9290000,9200000,59.0,616.0,322.0,1938.0,117948.71794871795
https://dzerzhinsky.cian.ru/sale/flat/300969161/,13.0,11.0,12.0,3.0,45.0,6.0,63.0,9110000,8910000,8800000,59.0,863.0,322.0,1981.0,139682.53968253967
https://dzerzhinsky.cian.ru/sale/flat/300147133/,13.0,5.0,17.0,2.0,20.0,18.0,58.0,9710000,9520000,9400000,59.0,671.0,97.0,2020.0,162068.9655172414
https://dzerzhinsky.cian.ru/sale/flat/292929894/,13.0,6.0,18.0,2.0,38.0,9.0,79.0,12810000,12510000,12400000,59.0,671.0,97.0,2004.0,156962.0253164557
https://dzerzhinsky.cian.ru/sale/flat/299464026/,13.0,5.0,16.0,1.0,21.0,11.0,44.0,8490000,8300000,8200000,59.0,671.0,290.0,2014.0,186363.63636363635
https://dzerzhinsky.cian.ru/sale/flat/301789924/,13.0,6.0,9.0,2.0,33.0,7.0,46.0,7100000,6830000,6900000,59.0,621.0,322.0,1974.0,150000.0
https://dzerzhinsky.cian.ru/sale/flat/301764101/,13.0,3.0,18.0,2.0,40.0,10.0,68.0,12090000,11820000,11700000,59.0,671.0,97.0,2004.0,172058.82352941178
https://dzerzhinsky.cian.ru/sale/flat/294309927/,13.0,15.0,17.0,2.0,30.0,14.0,65.0,11270000,11270000,10900000,59.0,671.0,97.0,2017.0,167692.3076923077
https://dzerzhinsky.cian.ru/sale/flat/298618004/,13.0,11.0,17.0,1.0,19.0,10.0,39.0,7000000,6850000,6750000,59.0,671.0,322.0,2017.0,173076.92307692306
https://dzerzhinsky.cian.ru/sale/flat/294768372/,13.0,9.0,9.0,1.0,17.0,7.0,32.0,6610000,6490000,6400000,59.0,386.0,322.0,1980.0,200000.0
https://dzerzhinsky.cian.ru/sale/flat/301909436/,13.0,7.0,23.0,1.0,24.0,14.0,48.0,8610000,8350000,8350000,59.0,863.0,322.0,2002.0,173958.33333333334
https://dzerzhinsky.cian.ru/sale/flat/300542301/,13.0,5.0,17.0,2.0,20.0,18.0,58.0,9680000,9310000,9400000,59.0,671.0,49.0,2020.0,162068.9655172414
